Latitude,Longitude,distance_to_nearest_substation_m,distance_to_nearest_powerline_m,altitude
39.64,20.85,65817.74297925903,60034.261770965866,479.2418518066406
39.64,20.87,64102.99299513125,61539.89797344605,468.0
39.64,20.89,62388.3356085827,63056.11234490413,473.1529541015625
39.64,20.91,60673.77856567383,64582.15982360519,472.4768981933594
39.64,20.93,58959.330525033336,66117.35952805121,479.1971435546875
39.64,20.95,57245.00119436135,67661.08847777171,526.4232177734375
39.64,20.97,55530.80149217442,69212.7759702041,709.4577026367188
39.64,20.99,53816.74374040393,70771.89854596321,830.1341552734375
39.64,21.01,52102.84189493737,72337.9754805634,987.2098999023438
39.64,21.03,50389.11182311162,73910.56474635692,499.8980102539062
39.64,21.05,48675.57163969236,75489.25939397559,1379.112915039062
39.64,21.07,46962.24211623387,77073.68430773079,-1110.31640625
39.66,19.13,26963.585915078704,84243.45297286447,1695.838623046875
39.66,19.15,25247.425085355484,82562.68922355652,-1122.900390625
39.66,19.17,23531.275686205972,80883.34401498023,-1136.01708984375
39.66,19.19,21815.13767014435,79205.50679509286,-1150.293701171875
39.66,19.21,20099.01100869012,77529.2746794354,-1170.233032226562
39.66,19.23,18382.895701242007,75854.75327915809,-1164.100708007812
39.66,19.25,16666.791789429084,74182.05763719577,-1165.778930664062
39.66,19.27,14950.699381347726,72511.31328919386,-1159.147583007812
39.66,19.29,13234.6186946507,70842.65746868742,-1175.679565429688
39.66,19.31,11518.550138157529,69176.24047955,-1188.307495117188
39.66,19.33,9802.49447918039,67512.22726293434,-1201.87109375
39.66,19.35,8086.453223899582,65850.79919099667,-1195.354614257812
39.66,19.37,6370.429612502638,64192.15612583707,-1183.025756835938
39.66,19.39,4654.431815618294,62536.518789532085,-1207.15283203125
39.66,19.41,2938.487330118748,60884.13150019437,-1194.46923828125
39.66,19.43,1222.778583887483,59235.26534004509,-1024.548828125
39.66,19.45,495.0486832701346,57532.707278118614,-442.6044311523438
39.66,19.47,2210.037341588842,55816.74443094992,-309.4613342285156
39.66,19.49,3925.896649176663,54100.79610822355,-680.8858642578125
39.66,19.51,5641.823680262157,52384.86276690699,-258.7692565917969
39.66,19.53,7357.764550390013,50668.94493983228,-247.0060577392578
39.66,19.55,9073.706213344947,48953.04324898799,-237.9541625976562
39.66,19.57,10789.643987799916,47237.15842171245,-203.7863464355469
39.66,19.59,12505.575818423064,45521.291310544686,-223.2035522460938
39.66,19.61,14221.500691634426,43805.44291774302,-182.8595581054688
39.66,19.63,15937.41807479162,42089.61442579716,-137.3760986328125
39.66,19.65,17653.327682446565,40373.807235723085,-18.1551342010498
39.66,19.67,19369.229366851378,38658.02301554836,-74.68335723876953
39.66,19.69,21085.123061925493,36942.263762311806,-182.5431365966797
39.66,19.71,22801.00875252544,35226.5318821751,-5.618801593780518
39.66,19.73,24516.88645662008,33510.83029513833,140.4402008056641
39.66,19.75,26232.756214460333,31795.162573652728,79.56978607177734
39.66,19.77,27948.618081739023,30079.53312865699,259.5457763671875
39.66,19.79,29664.472125123855,28363.947463111672,54.79970169067383
39.66,19.81,31380.318419258107,26648.41252343383,94.20069885253906
39.66,19.83,33096.15704469196,24932.937195971583,21.61401748657227
39.66,19.85,34811.9880864276,23217.53302349146,7.547959804534912
39.66,19.87,36527.81163287108,21502.215264485767,0.0
39.66,19.89,38243.6277750719,19787.00450319175,-7.791985511779785
39.66,19.91,39959.436606153286,18071.9291759588,-15.21980667114258
39.66,19.93,41675.2382208851,16357.029685964872,-17.93292427062988
39.66,19.95,43391.03271535926,14642.36540719164,-50.30307769775391
39.66,19.97,45106.820186737496,12928.027256917563,-36.508544921875
39.66,19.99,46822.6007330556,11214.161786825664,-50.48245620727539
39.66,20.01,48538.37445306813,9501.021309832424,-43.58829879760742
39.66,20.03,50254.14144612595,7789.080045382078,-38.72414779663086
39.66,20.05,51969.90181207863,6079.345953195001,20.00776100158691
